"English_name","Scientific_name","X3A_CODE"
"Straightfin barb","Barbus paludinosus","BUU"
NA,"Barbus perince","BSI"
"Papermouth","Barbus mattozi","BSM"
"Largescale yellowfish","Barbus marequensis","BUQ"
"Threespot barb","Barbus trimaculatus","BST"
NA,"Barbus tropidolepis","BSO"
NA,"Barbus cyclolepis","BBZ"
"Common nase","Chondrostoma nasus","HON"
NA,"Chondrostoma toxostoma","HOX"
"Iberian nase","Chondrostoma polylepis","HOY"
NA,"Chondrostoma soetta","HOS"
NA,"Chondrostoma genei","HOG"
"Longfin dace","Agosia chrysogaster","AGE"
"Crucian carp","Carassius carassius","FCC"
"Goldfish","Carassius auratus","CGO"
"Japanese white crucian carp","Carassius cuvieri","IUV"
"Prussian carp","Carassius gibelio","CWG"
NA,"Carassius spp","WDX"
"Gudgeon","Gobio gobio","GOG"
"White-finned gudgeon","Gobio albipinnatus","GOP"
"Roach","Rutilus rutilus","FRO"
"Kutum","Rutilus frisii","RFR"
NA,"Rutilus rubilio","RTR"
NA,"Rutilus alburnoides","RLA"
NA,"Rutilus lemmingii","RFZ"
"Caspian roach","Rutilus caspicus","RWC"
"Roaches nei","Rutilus spp","FRX"
"Rudd","Scardinius erythrophthalmus","SRE"
"Orfe(=Ide)","Leuciscus idus","FID"
NA,"Leuciscus cephaloides","LUC"
"Common dace","Leuciscus leuciscus","FIE"
"Dnieper chub","Leuciscus borysthenicus","LUY"
NA,"Leuciscus polylepis","LUP"
NA,"Leuciscus pyrenaicus","LUR"
"Schmidt's dace","Leuciscus schmidti","VLS"
"Issyk-Kul dace","Leuciscus bergi","VLB"
"Siberian dace","Leuciscus baicalensis","JNE"
"Chubs nei","Leuciscus spp","LEW"
NA,"Rhodeus amarus","RHM"
"Rosy bitterling","Rhodeus ocellatus","ROO"
"Bitterling","Rhodeus sericeus","ROR"
NA,"Tribolodon taczanowskii","TBT"
"Big-scaled redfin","Tribolodon hakonensis","TFZ"
"Far Eastern ide","Tribolodon brandtii","ZTB"
NA,"Labeo angra","LBG"
NA,"Labeo bata","LBB"
NA,"Labeo boga","LBO"
"Orangefin labeo","Labeo calbasu","LCB"
NA,"Labeo dero","LBD"
NA,"Labeo dussumieri","LBM"
"Fringed-lipped peninsula carp","Labeo fimbriatus","LBF"
"Kuria labeo","Labeo gonius","LBI"
NA,"Labeo kontius","LBJ"
NA,"Labeo microphthalmus","LOI"
NA,"Labeo nandina","LON"
NA,"Labeo pangusia","LOH"
"Roho labeo","Labeo rohita","LRH"
NA,"Labeo sindensis","LOD"
"Rednose labeo","Labeo altivelis","LBV"
NA,"Labeo coubie","LBU"
"Redeye labeo","Labeo cylindricus","LBY"
NA,"Labeo darlingi","LBL"
NA,"Labeo forskalii","LBK"
NA,"Labeo fuelleborni","LBN"
NA,"Labeo horie","LBQ"
NA,"Labeo mesops","LOM"
NA,"Labeo niloticus","LOL"
"Ningu","Labeo victorianus","LOC"
"Orange River mudfish","Labeo capensis","LBP"
NA,"Labeo dyocheilus","LBH"
NA,"Labeo rosae","LOE"
"Moggel","Labeo umbratus","EOU"
"Black sharkminnow","Labeo chrysophekadion","MOH"
"Purple labeo","Labeo congoro","ZYS"
"Rhinofishes nei","Labeo spp","RHI"
NA,"Cirrhinus cirrhosus","RNR"
"Mud carp","Cirrhinus molitorella","MUC"
"Mrigal carp","Cirrhinus mrigala","CMG"
"Reba carp","Cirrhinus reba","RNE"
"Small scale mud carp","Cirrhinus microlepis","RNM"
"PÃ¡tzcuaro chub","Algansea lacustris","AVL"
NA,"Aspidoparia jaya","ASJ"
NA,"Aspidoparia morar","ARR"
NA,"Albulichthys albuloides","ABA"
"Giant barb","Catlocarpio siamensis","TCS"
NA,"Chagunius chagunio","GUH"
NA,"Chela cachius","HEU"
"Indian glass barb","Chela laubuca","HEO"
NA,"Crossocheilus latius","ILA"
"Grass carp(=White amur)","Ctenopharyngodon idella","FCG"
NA,"Cyclocheilichthys enoplos","YCE"
"Beardless barb","Cyclocheilichthys apogon","YCA"
NA,"Cyclocheilichthys dumerilii","YCD"
NA,"Cyclocheilichthys armatus","YCQ"
"Giant danio","Danio aequipinnatus","DAE"
NA,"Danio dangila","DAD"
"Sind danio","Danio devario","DAV"
"Zebra danio","Danio rerio","DAI"
"Leopard danio","Danio frankei","DAF"
"Schneider","Alburnoides bipunctatus","ABI"
"Chihuahua chub","Gila nigrescens","GIN"
"Utah chub","Gila atraria","GIA"
"Tui chub","Gila bicolor","GIB"
"Humpback chub","Gila cypha","GIC"
"Bonytail","Gila elegans","GIE"
"Roundtail chub","Gila robusta","GIR"
NA,"Hampala dispar","HMD"
"Hampala barb","Hampala macrolepidota","HML"
NA,"Hampala salweenensis","IJM"
"Silver carp","Hypophthalmichthys molitrix","SVC"
"Bighead carp","Hypophthalmichthys nobilis","BIC"
"Silver, bighead carps nei","Hypophthalmichthys spp","HXP"
NA,"Labeobarbus bynni","BBB"
NA,"Labiobarbus leptocheilus","LUE"
"Signal barb","Labiobarbus festivus","LZF"
NA,"Labiobarbus fasciatus","LZQ"
NA,"Labiobarbus ocellatus","LZW"
NA,"Labiobarbus siamensis","JEG"
NA,"Amblyrhynchichthys truncatus","ABT"
NA,"Anabarilius polylepis","ANY"
"Kanglang fish","Anabarilius grahami","QNG"
"Golden shiner","Notemigonus crysoleucas","NMC"
"Catla","Gibelion catla","CTT"
"Nilem carp","Osteochilus hasselti","FCN"
NA,"Osteochilus melanopleurus","OSE"
NA,"Osteochilus spilurus","OSS"
"Splittail","Pogonichthys macrolepidotus","PGC"
"Isok barb","Probarbus jullieni","PRJ"
"Sacramento squawfish","Ptychocheilus grandis","PTI"
"Slender rasbora","Rasbora daniconius","RAD"
NA,"Rasbora elanga","RSG"
"Harlequin rasbora","Rasbora heteromorpha","RST"
"Gangetic scissortail rasbora","Rasbora rasbora","RSR"
"Silver rasbora","Rasbora argyrotaenia","RSZ"
"Brilliant rasbora","Rasbora einthovenii","RSV"
"Twospot rasbora","Rasbora elegans","RWS"
NA,"Rasbora tawarensis","RRZ"
NA,"Thynnichthys sandkhol","TYD"
NA,"Thynnichthys thynnoides","TYT"
NA,"Thynnichthys vaillanti","TWY"
"Thai mahseer","Tor tambroides","TOB"
"Putitor mahseer","Tor putitora","PTP"
"Tor barb","Tor tor","PTT"
NA,"Tor khudree","TOK"
"Semah mahseer","Tor douronensis","TZD"
NA,"Tor soro","TZS"
NA,"Tor tambra","QPC"
NA,"Barilius barila","BRL"
NA,"Barilius barna","BLA"
"Trout barb","Barilius bola","BLO"
NA,"Barilius shacra","BRH"
NA,"Barilius tileo","BRJ"
NA,"Barilius vagra","BRV"
NA,"Barilius bakeri","BRR"
NA,"Barilius bendelisis","BLD"
NA,"Brachydanio acuticephala","BDA"
"Emerald shiner","Notropis atherinoides","NTA"
"Red River shiner","Notropis bairdi","NTB"
"Bigeye shiner","Notropis boops","NTP"
"Bigmouth shiner","Notropis dorsalis","NTD"
"Arkansas River shiner","Notropis girardi","NTG"
"Blackchin shiner","Notropis heterodon","NTE"
"Blacknose shiner","Notropis heterolepis","NTR"
"Spottail shiner","Notropis hudsonius","NTU"
"Longnose shiner","Notropis longirostris","NTL"
"Yellowfin shiner","Notropis lutipinnis","NTN"
"Ozark minnow","Notropis nubilus","NTS"
"Rosyface shiner","Notropis rubellus","NTQ"
"Bedrock shiner","Notropis rupestris","NTI"
"Flagfin shiner","Notropis signipinnis","NRS"
"Sand shiner","Notropis stramineus","NRT"
"Weed shiner","Notropis texanus","NRX"
"Mimic shiner","Notropis volucellus","NRV"
"Barbel steed","Hemibarbus labeo","HME"
"Spotted steed","Hemibarbus maculatus","UMM"
"Vatani rohtee","Rohtee ogilbii","ROG"
NA,"Amblypharyngodon microlepis","ABC"
"Mola carplet","Amblypharyngodon mola","ABO"
"Attentive carplet","Amblypharyngodon melettinus","ABL"
"Silver cyprinid","Rastrineobola argentea","ENA"
NA,"Acanthobrama lissneri","AHS"
"Kinneret bleak","Acanthobrama terraesanctae","AHT"
"Fathead minnow","Pimephales promelas","PMP"
"California roach","Hesperoleucus symmetricus","HSY"
"White amur bream","Parabramis pekinensis","WAB"
"Barbel chub","Squaliobarbus curriculus","SQK"
NA,"Culter alburnus","LTL"
"Freshwater minnow","Zacco platypus","ZAP"
NA,"Zacco taliensis","ZAQ"
NA,"Anaecypris hispanica","AZH"
NA,"Garra dembeensis","GRD"
NA,"Garra ghorensis","GRG"
NA,"Garra gotyla","GRT"
NA,"Garra lamta","GRK"
NA,"Garra mullya","GRU"
NA,"Garra rufa","GRR"
NA,"Garra tibanica","GRI"
NA,"Opsariichthys bidens","OPD"
NA,"Pseudogobio esocinus","PDE"
"Blacknose dace","Rhinichthys atratulus","RHQ"
"Longnose dace","Rhinichthys cataractae","RHW"
"Speckled dace","Rhinichthys osculus","RHV"
"Hornyhead chub","Nocomis biguttatus","NOB"
"Bluehead chub","Nocomis leptocephalus","NOH"
"River chub","Nocomis micropogon","NOI"
NA,"Cyprinella alvarezdelvillari","YPA"
"Satinfin shiner","Cyprinella analostana","YPN"
"Alabama shiner","Cyprinella callistia","YPC"
"Bluntface shiner","Cyprinella camura","YPM"
"Red shiner","Cyprinella lutrensis","YPL"
"Proserpine shiner","Cyprinella proserpina","YPP"
"Spotfin shiner","Cyprinella spiloptera","YPI"
"Blacktail shiner","Cyprinella venusta","YPV"
"Oily bitterling","Acheilognathus limbatus","ATL"
NA,"Acheilognathus melanogaster","ATN"
NA,"Acheilognathus rhombeus","ATR"
NA,"Acheilognathus tabira","ATT"
"Chinese bleak","Aphyocypris chinensis","AYH"
"Plains minnow","Hybognathus placitus","HBP"
NA,"Chelaethiops bibie","HEY"
"Devils River minnow","Dionda diaboli","DID"
"Roundnose minnow","Dionda episcopa","DIE"
"Pike asp","Aspiolucius esocinus","AUE"
"Vimba bream","Vimba vimba","VIV"
"Macedonian vimba","Vimba melanops","VIM"
"Lake chub","Couesius plumbeus","UEP"
"Creek chub","Semotilus atromaculatus","SMU"
"Sichel","Pelecus cultratus","FSC"
"Rainbow gudgeon","Sarcocheilichthys nigripinnis","SHP"
"Iraq blind barb","Typhlogarra widdowsoni","TPW"
"White cloud mountain minnow","Tanichthys albonubes","TYA"
"Central stoneroller","Campostoma anomalum","MPL"
"Largescale stoneroller","Campostoma oligolepis","MPG"
"Dalmatian barbelgudgeon","Aulopyge huegelii","AUH"
"Sacramento blackfish","Orthodon microlepidotus","OHM"
"Hitch","Lavinia exilicauda","LVE"
"Woundfin","Plagopterus argentissimus","PLT"
"Least chub","Iotichthys phlegethontis","IOP"
"Riffle minnow","Phenacobius catostomus","PHK"
NA,"Evarra bustamantei","EVU"
"Asp","Aspius aspius","ASU"
"Redside dace","Clinostomus elongatus","NOU"
"Tricolor sharkminnow","Balantiocheilos melanopterus","BNB"
NA,"Moroco steindachneri","MOI"
NA,"Mandibularca resinus","MDE"
"Danube bleak","Chalcalburnus chalcoides","NUC"
"Tarek","Chalcalburnus tarichi","AWT"
"Russian bitterling","Acanthorhodeus asmussii","AHA"
"Stone moroko","Pseudorasbora parva","PDP"
NA,"Bangana behri","BNE"
NA,"Bangana yunnanensis","DDT"
"Kalabans","Bangana dero","DDV"
NA,"Barbichthys nitidus","BRN"
NA,"Barbodes balleroides","BBR"
NA,"Barbodes platysoma","BBT"
"Hoven's carp","Leptobarbus hoeveni","FCH"
"Chiselmouth","Acrocheilus alutaceus","ARC"
"Sharpbelly","Hemiculter leucisculus","HMU"
NA,"Barboides gracilis","BBC"
"Somalian blind barb","Barbopsis devecchii","BBV"
"Tokyo bitterling","Tanakia tanago","TKT"
NA,"Biwia zezera","BWZ"
"Redfin","Pseudaspius leptocephalus","PDL"
NA,"Boraras brigittae","BOI"
"Congo blind barb","Caecobarbus geertsii","CUG"
NA,"Caecocypris basimi","YCB"
"Black carp","Mylopharyngodon piceus","BKC"
"Seven khramulya","Capoeta capoeta","OEC"
NA,"Capoeta damascina","OED"
"Striped shiner","Luxilus chrysocephalus","LXC"
"Common shiner","Luxilus cornutus","LXO"
"Oregon chub","Oregonichthys crameri","OGC"
NA,"Gnathopogon caerulescens","GNA"
NA,"Gnathopogon elongatus","GNE"
"Wuchang bream","Megalobrama amblycephala","WUB"
"Black Amur bream","Megalobrama terminalis","WUT"
"Peamouth","Mylocheilus caurinus","MHC"
"Little Colorado spinedace","Lepidomeda vittata","LPV"
"Scaly osman","Diptychus maculatus","DIL"
NA,"Ptychobarbus conirostris","PTO"
NA,"Schizopygopsis pylzovi","SZP"
"Loach minnow","Tiaroga cobitis","TGC"
"Spotted barb","Puntius binotatus","PUI"
NA,"Puntius amphibius","PUH"
"Arulius barb","Puntius arulius","PUU"
"Rosy barb","Puntius conchonius","PUO"
"Blackspot barb","Puntius filamentosus","PUM"
NA,"Puntius orphoides","PUD"
"Pool barb","Puntius sophore","PUR"
"Sumatra barb","Puntius tetrazona","PUT"
"Ticto barb","Puntius ticto","PUW"
"Spanner barb","Puntius lateristriga","FZP"
"Puntio barb","Puntius puntio","FQP"
"Asian barbs nei","Puntius spp","FAB"
"Sharpray","Capoetobrama kuschakewitschi","OEK"
NA,"Carassioides cantonensis","OEN"
NA,"Cephalakompsus pachycheilus","PHH"
"Humpback","Chanodichthys dabryi","HYA"
"Predatory carp","Chanodichthys erythropterus","HVY"
"Mongolian redfin","Chanodichthys mongolicus","HWQ"
NA,"Coptostomabarbus bellcrossi","PTL"
NA,"Coreoleuciscus splendidus","UCS"
NA,"Cosmochilus cardinalis","USC"
NA,"Cyprinion watsoni","YPW"
NA,"Danionella translucida","DAT"
NA,"Discherodontus ashmeadi","DII"
NA,"Distoechodon tumirostris","DIT"
NA,"Eirmotus octozona","EIO"
"Yellowcheek","Elopichthys bambusa","ELM"
"Lake Malawi sardine","Engraulicypris sardella","ENL"
"Redtail sharkminnor","Epalzeorhynchos bicolor","EPB"
"Flying fox","Epalzeorhynchos kalopterus","EQQ"
"Desert dace","Eremichthys acros","ERA"
"Streamline chub","Erimystax dissimilis","ERD"
"Flying barb","Esomus danricus","ESD"
"Lake minnow","Eupallasella perenurus","EUE"
"Cutlips minnow","Exoglossum maxillingua","EXM"
NA,"Gobiobotia brevibarba","GOR"
NA,"Gymnocypris biswasi","GYW"
NA,"Hemigrammocapoeta kemali","HMK"
"Garnet minnow","Hemigrammocypris lini","HMI"
"Flame chub","Hemitremia flammea","HMF"
NA,"Henicorhynchus caudimaculatus","HNC"
"Siamese mud carp","Henicorhynchus siamensis","HNZ"
NA,"Horadandia atukorali","HRA"
NA,"Raiamas ansorgii","PUK"
NA,"Hypselobarbus curmuca","HYC"
"Jerdon's carp","Hypselobarbus jerdoni","PUJ"
NA,"Hypsibarbus lagleri","HYL"
NA,"Hypsibarbus pierrei","YXC"
NA,"Hypsibarbus wetmorei","YXE"
NA,"Hypsibarbus spp","YHX"
NA,"Iberocypris palaciosi","IBP"
NA,"Inlecypris auropurpureus","INA"
"Iran cave barb","Iranocypris typhlops","IRT"
NA,"Kalimantania lawak","KAL"
NA,"Ladigesocypris ghigii","LDG"
"Tachanovsky's gudgeon","Ladislavia taczanowskii","LDT"
"Czekanowski's minnow","Lagowskiella czekanowskii","LWG"
NA,"Lepidopygopsis typus","LPT"
NA,"Leptocypris guineensis","LPG"
NA,"Leptocypris niloticus","LPN"
NA,"Leucalburnus kosswigi","LPK"
"Belica","Leucaspius delineatus","LUD"
NA,"Lobocheilos bo","LCO"
NA,"Longiculter siahi","LCI"
NA,"Luciosoma bleekeri","LCK"
"Cherryfin shiner","Lythrurus roseipinnis","LYR"
"Ouachita shiner","Lythrurus snelsoni","LYS"
"Speckled chub","Macrhybopsis aestivalis","MCV"
"Long pectoral-fin minnow","Macrochirichthys macrochirus","MCO"
"Pearl dace","Margariscus margarita","MGM"
"Spikedace","Meda fulgida","MDF"
NA,"Mekongina erythrospila","MKE"
"River sardine","Mesobola brevianalis","MSB"
NA,"Microphysogobio koreensis","MYK"
NA,"Microrasbora erythromicron","MCY"
"Moapa dace","Moapa coriacea","MOC"
"Hardhead","Mylopharodon conocephalus","MHO"
NA,"Mystacoleucus argenteus","MSG"
NA,"Mystacoleucus padangensis","MZP"
NA,"Mystacoleucus marginatus","MJZ"
NA,"Mystacoleucus atridorsalis","JVJ"
NA,"Nematabramis alestes","NEL"
NA,"Neobola moeruensis","NEO"
NA,"Neolissochilus blanci","NEI"
"Copper mahseer","Neolissochilus hexagonolepis","ARH"
NA,"Ochetobius elongatus","OCE"
"Taiwan ku fish","Onychostoma alticorpus","ONL"
"Lake salmon","Opsaridium microlepis","OPL"
NA,"OpsaridiumÂ microcephalus","DKA"
"Pugnose minnow","Opsopoeodus emiliae","OPQ"
NA,"Oreichthys cosuatis","OHC"
NA,"Oreoleuciscus handlirschi","OUH"
NA,"Ospatulus palaemophagus","OUP"
"Manipur osteobrama","Osteobrama belangeri","OBL"
NA,"Osteobrama cotio","OBC"
NA,"Oxygaster anomalura","OXA"
NA,"Oxygaster pointoni","QDU"
NA,"Pachychilon macedonicum","PHM"
NA,"Parachela cyanea","PHC"
NA,"Parachela oxygastroides","PZI"
NA,"Parachela siamensis","QED"
NA,"Paracrossochilus acerus","PHQ"
NA,"Paralaubuca barroni","PUB"
NA,"Parapsilorhynchus tentaculatus","PYT"
NA,"Pararasbora moltrechti","PAJ"
NA,"Parazacco vuquangensis","PZV"
NA,"Parluciosoma labiosa","PUL"
NA,"Pectenocypris balaena","PYB"
NA,"Phoxinellus adspersus","PXA"
"Blackside dace","Phoxinus cumberlandensis","PXC"
"Northern redbelly dace","Phoxinus eos","PXE"
"Southern redbelly dace","Phoxinus erythrogaster","PXY"
"Finescale dace","Phoxinus neogaeus","PXN"
"Eurasian minnow","Phoxinus phoxinus","PXP"
"Somalian cavefish","Phreatichthys andruzzii","PYI"
"Smallscale yellowfin","Plagiognathops microlepis","PLI"
"Flathead chub","Platygobio gracilis","PLC"
NA,"Platypharodon extremus","PLX"
NA,"Poropuntius deauratus","PTD"
NA,"Procypris merus","PCE"
"Rock carp","Procypris rabaudi","QPQ"
NA,"Prolabeo batesi","PBB"
NA,"Prolabeops melanhypoptera","PBM"
"Smallscale redfin","Pseudobarbus asper","PDS"
NA,"Pseudolaubuca jouyi","PDJ"
NA,"Pseudoperilampus hondae","PDH"
NA,"Pseudophoxinus stymphalicus","PDY"
NA,"Pseudopungtungia nigra","PDN"
NA,"Ptychidio jordani","PTJ"
NA,"Pungtungia herzi","PGH"
NA,"Puntioplites bulu","PUQ"
NA,"Puntioplites waandersi","WPU"
NA,"Puntioplites proctozystron","WPP"
NA,"Rasborichthys helfrichii","RSF"
NA,"Rasborinus lineatus","RSL"
NA,"Rectoris posehensis","REH"
"Relict dace","Relictus solitarius","RET"
"Redside shiner","Richardsonius balteatus","RIL"
NA,"Rohteichthys microlepis","ROI"
"Amur whitefin gudgeon","Romanogobio tenuicorpus","ROU"
"Large razorbelly minnow","Salmostoma bacaila","SLB"
NA,"Sanagia velifera","SNV"
"Chinese lizard gudgeon","Saurogobio dabryi","SUB"
NA,"Sawbwa resplendens","SWE"
NA,"Scaphognathops bandanensis","SGB"
NA,"Schismatorhynchos heterorhynchos","SRT"
NA,"Schizocypris brucei","SZB"
"Sattar snowtrout","Schizothorax curvifrons","SZU"
NA,"Schizothorax esocinus","SZE"
"Common snowtrout","Schizothorax richardsonii","SZR"
NA,"Schizothorax yunnanensis","SWZ"
NA,"Schizothorax cryptolepis","QEB"
NA,"Schizothorax davidi","QEA"
NA,"Schizothorax prenanti","QEC"
"Blunt- nosed snowtrout","Schizothorax molesworthi","QER"
"Dinnawah snowtrout","Schizothorax progastus","QES"
NA,"Schizothorax plagiostomus","QET"
"Snowtrouts nei","Schizothorax spp","QEZ"
NA,"Securicula gora","SLG"
NA,"Semilabeo notabilis","SMN"
NA,"Sikukia gudgeri","SKG"
NA,"Sinibrama macrops","SNM"
NA,"Sinilabeo decorus","SND"
NA,"Sinocyclocheilus anatirostris","SNT"
"Golden-line barbel","Sinocyclocheilus grahami","YGH"
NA,"Spinibarbus denticulatus","SBD"
NA,"Spinibarbus sinensis","WSS"
NA,"Spratellicypris palata","SIT"
NA,"Squalidus biwae","SQB"
"Stumptooth minnow","Stypodon signifer","SDG"
NA,"Systomus brevis","SMB"
NA,"Systomus partipentazona","QNT"
"Olive barb","Systomus sarana","PUS"
NA,"Thryssocypris ornithostoma","TYO"
NA,"Tropidophoxinellus hellenicus","TPH"
NA,"Typhlobarbus nudiventris","TPN"
NA,"Xenobarbus loveridgei","XEL"
"Yellowfin","Xenocypris argentea","XEA"
NA,"Xenocypris davidi","XJB"
"White bream","Blicca bjoerkna","ABK"
"Silver barb","Barbonymus gonionotus","PTG"
"Red tailed tinfoil","Barbonymus altus","BBA"
"Tinfoil barb","Barbonymus schwanenfeldii","BFS"
NA,"Luciobarbus bocagei","LWD"
NA,"Luciobarbus comizo","LWK"
NA,"Luciobarbus graellsii","BUG"
"Andalusian barbel","Luciobarbus sclateri","BSL"
"Bulatmai barbel","Luciobarbus capito","WLC"
"Naked osman","Gymnodiptychus dybowskii","WSK"
NA,"Gymnodiptychus pachycheilus","WYG"
"Big-head schizothoracin","Aspiorhynchus laticeps","YHU"
NA,"Coreius guichenoti","UGH"
NA,"Percocypris pingi","YKI"
NA,"Ancherythroculter nigrocauda","YKQ"
"African scraping feeder","Varicorhinus beso","VBE"
"Blue bream","Ballerus ballerus","BXG"
NA,"Ballerus sapa","BZR"
NA,"Enteromius litambia","DKE"
NA,"Gymnostomus ariza","LBZ"
"Chub","Squalius cephalus","LUH"
"Cyprinids nei","Cyprinidae","FCY"
"Siamese algae-eater","Gyrinocheilus aymonieri","GXM"
"Vairone","Telestes souffia","LUS"
NA,"Acanthopsoides delphax","HPD"
"Horseface loach","Acantopsis choirorhynchos","TPC"
"Bengal loach","Botia dario","BOD"
NA,"Botia spp","BWX"
"Golden spined loach","Cobitis aurata","BIA"
NA,"Cobitis biwae","BIW"
"Spined loach","Cobitis taenia","BIT"
NA,"Cobitis granoei","BIO"
NA,"Cobitis maroccana","BIM"
"Guntea loach","Lepidocephalichthys guntea","LEG"
NA,"Lepidocephalichthys thermalis","LEI"
NA,"Somileptes gongota","SOG"
NA,"Sabanejewia balcanica","SAK"
NA,"Paramisgurnus dabryanus","PAD"
NA,"Pangio agma","NAG"
NA,"Niwaella delicata","NWD"
NA,"Leptobotia curta","LEU"
NA,"Neoeucirrhichthys maydelli","NUM"
NA,"Lepidocephalus annandalei","LED"
"Pond loach","Misgurnus anguillicaudatus","KUR"
"Weatherfish","Misgurnus fossilis","MWT"
"Chinese muddy loach","Misgurnus mizolepis","ZMM"
"Choi's spiny loach","Iksookimia choii","IKC"
NA,"Enobarbichthys maculatus","ENM"
"Clown loach","Chromobotia macracanthus","BMW"
"Redtail botia","Yasuhikotakia modesta","YHM"
"Tiger loach","Syncrossus hymenophysa","BOH"
NA,"Psilorhynchus sucatio","PSI"
NA,"Aborichthys elongatus","ABE"
"Mottled loach","Acanthocobitis botia","BTO"
NA,"Annamia normani","ANO"
NA,"Balitora annamitica","BTA"
"Stone loach","Barbatula barbatula","BTB"
NA,"Barbucca diabolica","BTD"
NA,"Bhavania australis","BHS"
NA,"Crossostoma lacustre","CML"
NA,"Ellopostoma megalomycter","ELL"
NA,"Gastromyzon borneensis","GSB"
NA,"Glaniopsis denudata","GLE"
NA,"Hemimyzon formosanum","HMO"
NA,"Homaloptera bilineata","HOI"
NA,"Homaloptera spp","HQX"
NA,"Hypergastromyzon eubranchus","HYE"
NA,"Indoreonectes evezardi","INE"
NA,"Lefua echigonia","LEH"
NA,"Micronemacheilus cruciatus","MIU"
NA,"Nemacheilus abyssinicus","NEY"
NA,"Nemacheilus denisoni","NMD"
NA,"Neogastromyzon nieuwenhuisii","NEU"
NA,"Neohomaloptera johorensis","NEJ"
NA,"Neonoemacheilus labeosus","NEE"
NA,"Oreonectes anophthalmus","ONO"
NA,"Orthrias panthera","OTP"
NA,"Parhomaloptera microstoma","PAK"
NA,"Physoschistura brunneanus","PHV"
NA,"Protomyzon aphelocheilus","PYH"
NA,"Schistura balteata","SUH"
NA,"Sectoria atriceps","SRC"
NA,"Sewellia lineolata","SWL"
NA,"Sinogastromyzon puliensis","SZL"
NA,"Sphaerophysa dianchiensis","SYD"
NA,"Sundoreonectes tiomanensis","SUI"
NA,"Travancoria jonesi","TVJ"
NA,"Triplophysa choprai","TYC"
NA,"Troglocobitis starostini","TGT"
NA,"Tuberoschistura cambodgiensis","TUA"
NA,"Vaillantella cinnamomea","VAI"
NA,"Yunnanilus altus","YUA"
NA,"Alticorpus macrocleithrum","AIE"
NA,"Altolamprologus calvus","AGV"
"Midas cichlid","Amphilophus citrinellus","AII"
NA,"Anomalochromis thomasi","AKT"
NA,"Apistogrammoides pucallpaensis","GDS"
"Flier cichlid","Archocentrus centrarchus","HOK"
NA,"Aristochromis christyi","RKC"
NA,"Asprotilapia leptura","RTT"
NA,"Aulonocara auditor","ULD"
NA,"Aulonocranus dewindti","ULW"
NA,"Baileychromis centropomoides","BCK"
NA,"Benthochromis tricoti","BMI"
"Greenstreaked eartheater","Biotodoma cupido","BMP"
NA,"Biotoecus opercularis","BIE"
"Giant cichlid","Boulengerochromis microlepis","BEJ"
NA,"Buccochromis atritaeniatus","BMN"
NA,"Buccochromis notataenia","DGF"
NA,"Bujurquina cordemadi","BJC"
