"StockDatabaseID","StockKey","StockKeyLabel","StockKeyDescription","PreviousStockKey","PreviousStockKeyLabel","ActiveYear","SpeciesScientificName","SpeciesCommonName","EcoRegion","ExpertGroup","ExpertGroupDescription","AdviceDraftingGroup","AdviceDraftingGroupDescription","DataCategory","YearOfLastAssessment","AssessmentFrequency","YearOfNextAssessment","AssessmentType","AdviceReleaseDate","AdviceCategory","AdviceType","UseOfDiscardsInAdvice","PABufferApplied","TrophicGuild","FisheriesGuild","SizeGuild","Published","GeneratedOn","SectionNumber","AssessmentKey","ModifiedDate"
2942,169210,"rje.27.7de","Small-eyed ray (Raja microocellata) in divisions 7.d and 7.e (English Channel)",136649,"rje-ech",2022,"Raja microocellata","Small-eyed ray","Celtic Seas Ecoregion, Greater North Sea Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","5.2",2022,2,2024,"no assessment",NA,"PA","Landings","Not used","Yes in year(s) 2014, 2018, 2022","demersal benthivore","Elasmobranch","medium rays",TRUE,"2022-11-01T12:32:17.67+01:00","5.3.43",17405,"2022-10-13T10:14:36.277+01:00"
2943,169215,"rjh.27.7e","Blonde ray (Raja brachyura) in Division 7.e (western English Channel)",140793,"rjh-7e",2022,"Raja brachyura","Blonde ray","Celtic Seas Ecoregion, Greater North Sea Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","5.2",2022,2,2024,"no assessment",NA,"PA","Landings","Not used","Yes in year(s) 2014, 2018, 2022","demersal benthivore","Elasmobranch","large demersal",TRUE,"2022-11-01T12:32:17.67+01:00","5.3.48",17424,"2022-10-13T10:23:43.13+01:00"
2944,169255,"pil.27.8c9a","Sardine (Sardina pilchardus) in divisions 8.c and 9.a (Cantabrian Sea and Atlantic Iberian waters)",136692,"sar-soth",2022,"Sardina pilchardus","Sardine","Bay of Biscay and the Iberian Coast Ecoregion","WGHANSA","Working Group on Southern Horse Mackerel, Anchovy, and Sardine","ADGHANSA","Advice Drafting Grouy on Southern horse mackerel, anchovy, sardine","1",2021,1,2022,"Age- and length-structured model (SS3)",NA,"MSY","Catches","Not used","NA","pelagic planktivore","Pelagic","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","",NA,"2021-12-10T10:47:11.72+01:00"
2945,169110,"had.27.1-2","Haddock (Melanogrammus aeglefinus) in subareas 1 and 2 (Northeast Arctic)",136541,"had-arct",2022,"Melanogrammus aeglefinus","Haddock","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Norwegian Sea Ecoregion","AFWG","Arctic Fisheries Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2021,1,2022,"Age based analytical assessment (SAM)that uses landings in the model and in the forecast",NA,"MP","Catches","not used","NA","demersal piscivore","Demersal","large demersal",TRUE,"2022-11-01T12:32:17.67+01:00","3.3.6",NA,"2022-09-30T13:15:20.303+01:00"
2946,169149,"nep.fu.14","Norway lobster (Nephrops norvegicus) in Division 7.a, Functional Unit 14 (Irish Sea, East)",136589,"nep-14",2022,"Nephrops norvegicus","Norway lobster","Celtic Seas Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGNEPH","Celtic Sea Nephrops, anglerfish and Rockall megrim Advice Drafting Group","1",2021,1,2022,"Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data",NA,"MSY","Catches","Assessment","NA","crustacean","Crustacean","crustacean",TRUE,"2022-11-01T12:32:17.67+01:00","5.3.13",NA,"2021-11-11T15:17:52.243+01:00"
2947,169306,"whg.27.3a","Whiting (Merlangius merlangus) in Division 3.a (Skagerrak and Kattegat)",136742,"whg-kask",2022,"Merlangius merlangus","Whiting","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","2",2022,2,2024,"Method 2.2. RB rule.",NA,"PA","Catches","Advice","NA","demersal piscivore","Demersal","medium benthopelagic",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.55",17062,"2022-06-30T08:47:28.3+01:00"
2948,169137,"mac.27.nea","Mackerel (Scomber scombrus) in subareas 1-8 and 14 and division 9.a (the Northeast Atlantic and adjacent waters)",136576,"mac-nea",2022,"Scomber scombrus","Mackerel","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGWIDE","Working Group on Widely Distributed Stocks","ADGWIDE","Advice Drafting Group for Widely Distributed Stocks","1",2022,1,2023,"1.0 age-based analytical model (SAM)",NA,"MSY","Catches","Assessment","NA","pelagic piscivore","Pelagic","medium pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.27",17509,"2022-09-30T13:05:32.047+01:00"
2949,169308,"whg.27.6a","Whiting (Merlangius merlangus) in Division 6.a (West of Scotland)",136744,"whg-scow",2022,"Merlangius merlangus","Whiting","Celtic Seas Ecoregion","WGCSE","Working Group for the Celtic Seas Ecoregion","ADGCS","Celtic Sea Advice Drafting Group","1",2021,1,2022,"SPICT output as the survey series",NA,"MSY","Catches","Assessment","NA","demersal piscivore","Demersal","large demersal",TRUE,"2022-11-01T12:32:17.67+01:00","5.3.65",17302,"2021-11-17T11:27:08.907+01:00"
3199,169141,"meg.27.7b-k8abd","Megrim (Lepidorhombus whiffiagonis) in divisions 7.b-k, 8.a-b, and 8.d (west and southwest of Ireland, Bay of Biscay)",136580,"mgw-78",2022,"Lepidorhombus whiffiagonis","Megrim","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGBIE","Working Group for the Bay of Biscay and the Iberic Waters Ecoregion","ADGBBI","Bay of Biscay Advice Drafting Group","1",2022,1,2023,"A4a statistical catch at age",NA,"MSY","Catches","Assessment","NA","demersal piscivore","Benthic","medium demersal",TRUE,"2022-11-01T12:32:17.67+01:00","5.3.9",17377,"2022-07-14T22:52:46.023+01:00"
2950,169084,"cod.21.1","Cod (Gadus morhua) in NAFO Subarea 1, inshore (West Greenland cod)",140772,"cod-ingr",2022,"Gadus morhua","Cod","Arctic Ocean Ecoregion, Greenland Sea Ecoregion","NWWG","North-Western Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2022,1,2023,"SAM",NA,"MSY","Catches","not used","NA","demersal piscivore","Demersal","large benthopelagic",TRUE,"2022-11-01T12:32:17.67+01:00","2.3.4",17385,"2022-06-15T20:01:45.347+01:00"
2951,169089,"cod.2127.1f14","Cod (Gadus morhua) in ICES Subarea 14 and NAFO Division 1.F (East Greenland, South Greenland)",149450,"cod-segr",2022,"Gadus morhua","Cod","Arctic Ocean Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","NWWG","North-Western Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2022,1,2023,"age-based model",NA,"MSY","Catches","not used","NA","demersal piscivore","Demersal","large benthopelagic",TRUE,"2022-11-01T12:32:17.67+01:00","2.3.3",17348,"2022-06-15T20:01:17.547+01:00"
2952,169090,"cod.21.1a-e","Cod (Gadus morhua) in NAFO divisions 1.A-E, offshore (West Greenland)",149451,"cod-wgr",2022,"Gadus morhua","Cod","Arctic Ocean Ecoregion, Greenland Sea Ecoregion","NWWG","North-Western Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","3",2021,2,2023,"survey trends",NA,"PA","Catches","not used","No","demersal piscivore","Demersal","large benthopelagic",TRUE,"2022-11-01T12:32:17.67+01:00","2.3.5",NA,"2021-06-18T12:20:47.97+01:00"
2953,169250,"san.sa.5r","Sandeel (Ammodytes spp.) in Division 4.a, Sandeel Area 5r (northern North Sea, Viking and Bergen banks)",136687,"san-ns5",2022,"Ammodytes","Sandeel","Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","5.3",2021,2,2023,"no assessment",NA,"PA","Catches","negligible","No","pelagic planktivore","Demersal","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.40",NA,"2022-01-14T11:09:53.147+01:00"
2954,169251,"san.sa.6","Sandeel (Ammodytes spp.) in subdivisions 20-22, Sandeel Area 6 (Kattegat)",136688,"san-ns6",2022,"Ammodytes","Sandeel","Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","5.2",2021,2,2023,"no assessment",NA,"PA","Catches","Not used","Yes in year(s) 2013, 2017, 2021","pelagic planktivore","Demersal","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.39",NA,"2021-03-11T13:41:51.043+01:00"
2955,169252,"san.sa.7r","Sandeel (Ammodytes spp.) in Division 4.a, Sandeel Area 7r (northern North Sea, Shetland)",136689,"san-ns7",2022,"Ammodytes","Sandeel","Celtic Seas Ecoregion, Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","5.3",2021,2,2023,"no assessment",NA,"PA","Catches","negligible","No","pelagic planktivore","Demersal","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.41",NA,"2022-01-14T11:10:18.55+01:00"
3185,169246,"san.sa.1r","Sandeel (Ammodytes spp.) in Divisions 4.b and 4.c, Sandeel Area 1r (central and southern North Sea, Dogger Bank)",136683,"san-ns1",2022,"Ammodytes","Sandeel","Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","1",2022,1,2023,"Age-structured model (SMS-effort), seasonal",NA,"MSY","Catches","Not used","NA","pelagic planktivore","Demersal","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","",16936,"2022-05-16T17:44:38.89+01:00"
3186,169247,"san.sa.2r","Sandeel (Ammodytes spp.) in Divisions 4.b and 4.c, and Subdivision 20, Sandeel Area 2r (Skagerrak, central and southern North Sea)",136684,"san-ns2",2022,"Ammodytes","Sandeel","Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","1.2",2022,1,2023,"Age-structured model (SMS-effort), seasonal",NA,"MSY","Catches","Not used","NA","pelagic planktivore","Demersal","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","",16937,"2022-05-16T17:44:16.673+01:00"
3188,169248,"san.sa.3r","Sandeel (Ammodytes spp.) in Divisions 4.a and 4.b, and Subdivision 20, Sandeel Area 3r (Skagerrak, northern and central North Sea)",136685,"san-ns3",2022,"Ammodytes","Sandeel","Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","1",2022,1,2023,"Age-structured model (SMS-effort), seasonal",NA,"MSY","Catches","negligible","NA","pelagic planktivore","Demersal","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","",16941,"2022-05-16T17:45:28.54+01:00"
2985,169249,"san.sa.4","Sandeel (Ammodytes spp.) in divisions 4.a and 4.b, Sandeel Area 4 (northern and central North Sea)",136686,"san-ns4",2022,"Ammodytes","Sandeel","Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSandeel","Sandeel Advice Drafting Group","1",2022,1,2023,"Age-structured model (SMS-effort), half-yearly time-step.",NA,"MSY","Catches","negligible","NA","pelagic planktivore","Demersal","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","",16940,"2022-05-16T17:46:11.027+01:00"
2986,169123,"her.27.1-24a514a","Herring (Clupea harengus) in subareas 1, 2, 5 and divisions 4.a and 14.a, Norwegian spring-spawning herring (the Northeast Atlantic and Arctic Ocean)",136560,"her-noss",2022,"Clupea harengus","Herring","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGWIDE","Working Group on Widely Distributed Stocks","ADGWIDE","Advice Drafting Group for Widely Distributed Stocks","1",2022,1,2023,"Statistical assessment model (XSAM)",NA,"MP","Catches","not used","NA","pelagic planktivore","Pelagic","medium pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.16",17614,"2022-09-30T13:04:12.35+01:00"
2987,169199,"rja.27.nea","White skate (Rostroraja alba) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",140796,"rja-nea",2022,"Rostroraja alba","White skate","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","6.3",2019,4,2023,"no assessment",NA,"PA","Catches","not used","No","demersal omnivore","Elasmobranch","large rays",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.33",NA,"2019-10-17T08:38:57.14+01:00"
2988,169047,"agn.27.nea","Angel shark (Squatina squatina) in subareas 1-10, 12 and 14 (the Northeast Atlantic and adjacent waters)",136481,"agn-nea",2022,"Squatina squatina","Angel shark","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","WGEF","Working Group on Elasmobranch Fishes","ADGEF","Elasmobranch Stocks Advice Drafting Group","6.3",2019,4,2023,"no assessment",NA,"PA","No directed fisheries","not used","No","demersal piscivore","Elasmobranch","large sharks",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.1",NA,"2022-01-13T07:38:09.073+01:00"
2989,169240,"pok.27.5a","Saithe (Pollachius virens) in Division 5.a (Iceland grounds)",136677,"sai-icel",2022,"Pollachius virens","Saithe","Greenland Sea Ecoregion, Iceland Sea Ecoregion","NWWG","North-Western Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2022,1,2023,"Age-structured model, separable statistical catch-at-age model",NA,"MP","Catches","Not used","NA","demersal piscivore","Demersal","large demersal",TRUE,"2022-11-01T12:32:17.67+01:00","2.3.15",17203,"2022-06-15T20:36:23.543+01:00"
3202,169074,"cap.27.2a514","Capelin (Mallotus villosus) in subareas 5 and 14 and Division 2.a west of 5°W (Iceland and Faroes grounds, East Greenland, Jan Mayen area)",136507,"cap-icel",2022,"Mallotus villosus","Capelin","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","NWWG","North-Western Working Group","ADGICAPFS","Advice Drafting Group on Icelandic capelin and Faroese fish stocks","1.8",2021,1,2022,"Age-structured model, takes into account CV in surveys and predation from cod, haddock, and saithe of capelin and p(SSB< Blim|Catch)< 0.05",NA,"MP","Quota","not used","NA","na","Pelagic","na",TRUE,"2022-11-01T12:32:17.67+01:00","2.3.1",NA,"2021-12-06T09:46:51.663+01:00"
2956,169280,"spr.27.67a-cf-k","Sprat (Sprattus sprattus) in Subarea 6 and Divisions 7.a-c and 7.f-k (West of Scotland, southern Celtic Seas)",136720,"spr-celt",2022,"Sprattus sprattus","Sprat","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSprat","Sprat Advice Drafting Group","5.2",2021,2,2023,"no assessment",NA,"PA","Catches","Not used","Yes in year(s) 2012, 2017, 2021","pelagic planktivore","Pelagic","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","5.3.61",NA,"2022-03-07T10:16:25.89+01:00"
2957,169281,"spr.27.7de","Sprat (Sprattus sprattus) in divisions 7.d and 7.e (English Channel)",136721,"spr-ech",2022,"Sprattus sprattus","Sprat","Celtic Seas Ecoregion, Greater North Sea Ecoregion","HAWG","Herring Assessment Working Group for the Area South of 62° N","ADGSprat","Sprat Advice Drafting Group","3.2",2022,1,2023,"Biomass trend",NA,"MSY","Catches","Not used","Yes in year(s) 2013, 2017, 2020","pelagic planktivore","Pelagic","small pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","5.3.59",17093,"2022-05-16T17:42:19.557+01:00"
2958,169262,"reb.27.1-2","Beaked redfish  (Sebastes mentella) in subareas 1 and 2 (Northeast Arctic)",136702,"smn-arct",2022,"Sebastes mentella","Beaked redfish","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion","AFWG","Arctic Fisheries Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2020,2,2022,"Age-structured model, statistical catch-at-age",NA,"PA","Catches","Not used","NA","demersal piscivore","Pelagic","medium pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","3.3.8",NA,"2022-09-30T13:15:38.707+01:00"
2959,169268,"reg.27.1-2","Golden redfish (Sebastes norvegicus) in subareas 1 and 2 (Northeast Arctic)",136708,"smr-arct",2022,"Sebastes norvegicus","Golden redfish","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Norwegian Sea Ecoregion","AFWG","Arctic Fisheries Working Group","ADGANW","Advice Drafting Group for Arctic and North-Western fish stocks","1",2022,2,2024,"Age-length structured model (Gadget).",NA,"PA","Catches","Not used","NA","demersal piscivore","Demersal","medium pelagic",TRUE,"2022-11-01T12:32:17.67+01:00","3.3.9",17277,"2022-09-30T13:30:52.513+01:00"
2960,169059,"aru.27.5a14","Greater silver smelt (Argentina silus) in Subarea 14 and Division 5.a (East Greenland and Iceland grounds)",136490,"arg-icel",2022,"Argentina silus","Greater silver smelt","Greenland Sea Ecoregion, Iceland Sea Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group","1",2022,1,2023,"GADGET",NA,"MSY","Catches","not used","NA","pelagic planktivore","Pelagic","medium bathydemersal",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.4",17345,"2022-09-30T12:51:38.557+01:00"
2961,169135,"lin.27.5a","Ling (Molva molva) in Division 5.a (Iceland grounds)",136574,"lin-icel",2022,"Molva molva","Ling","Iceland Sea Ecoregion","WGDEEP","Working Group on the Biology and Assessment of Deep-sea Fisheries Resources","ADGDEEP","Deep see stocks advice drafting group","1",2022,1,2023,"Age- and length-structured model (Gadget)",NA,"MP","Catches","not used","NA","demersal piscivore","Demersal","large demersal",TRUE,"2022-11-01T12:32:17.67+01:00","9.3.25",17097,"2022-09-30T12:56:28.633+01:00"
2962,169145,"nep.fu.10","Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 10 (northern North Sea, Noup)",136585,"nep-10",2022,"Nephrops norvegicus","Norway lobster","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","4.14",2020,2,2022,"Data-limited approach for Nephrops",NA,"PA","Catches","Advice","No","crustacean","Crustacean","crustacean",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.13",NA,"2020-11-09T10:13:48.3+01:00"
2963,169168,"nep.fu.7","Norway lobster (Nephrops norvegicus) in Division 4.a, Functional Unit 7 (northern North Sea, Fladen Ground)",136608,"nep-7",2022,"Nephrops norvegicus","Norway lobster","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","1",2021,1,2022,"Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data",NA,"FMSY Ranges","Catches","Assessment","NA","crustacean","Crustacean","crustacean",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.20",NA,"2021-11-16T09:46:57.773+01:00"
2964,169169,"nep.fu.8","Norway lobster (Nephrops norvegicus) in Division 4.b, Functional Unit 8 (central North Sea, Firth of Forth)",136609,"nep-8",2022,"Nephrops norvegicus","Norway lobster","Greater North Sea Ecoregion","WGNSSK","Working Group on the Assessment of Demersal Stocks in the North Sea and Skagerrak","ADGNS","Advice Drafting Group for North Sea stocks","1",2021,1,2022,"Analytical model, underwater TV survey combined with yield-per-recruit analysis from length data",NA,"FMSY Ranges","Catches","Assessment","NA","crustacean","Crustacean","crustacean",TRUE,"2022-11-01T12:32:17.67+01:00","6.3.21",NA,"2021-11-16T09:47:25.883+01:00"
